Year,Treatment,Larger_T,Tank,Tag ID,Fecun.,m_l,m_w,g_w,l_w,Score
2024,A,A,A2,977EE,58969.97325,285,518,3.52,5.77,1
2024,A,A,A4,97812,39293.48522,305,571.2,6.88,6.26,1.5
2024,G,H,P3,97843,136811,291,503.8,3.14,7.58,0
2024,G,H,P3,97833,95769,297,460.1,3.64,5.84,0.5
2024,G,H,P1,777AE,97253.29054,265,378.4,6.12,4.04,2
2024,A,A,A1,777DF,48264,278,422.6,4.3,7.06,1
2024,A,A,G3,777F3,63586.47357,225,311.9,1.38,5.56,0
2024,G,H,P3,777E5,-,,,,,3.5
2024,A,A,P5,777E8,51746,248,321.3,3.46,4.43,1
2024,A,A,P5,777BB,106572.7294,255,299.6,4.43,3.18,0.5
2024,P,H,G2,777CA,81896.27761,290,494.7,18.51,11.18,1
2024,A,A,A4,977FE,2206,266,354.9,6.22,6.22,3
2024,P,H,P4,777BA,46895,258,317.8,4.56,4.3,0
2024,P,H,P4,77795,56472,260,312.5,1.89,3.38,0.5
2024,A,A,A2,777A5,70995,254,293.5,2.74,2.9,0.5
2024,P,H,G4,777977F2,64214.40599,248,288.7,1.71,3.96,0.5
2024,G,H,P2,977E5/ 777D3,478,262,336.2,1.95,4.74,4
2024,A,A,P4,777E2,22343,253,287.7,1.3,3.24,3
2024,P,H,G4,977F5,121990.7137,274,361.3,7.68,4.2,0.5
2024,G,H,P2,777AF,6249,240,242.4,2.96,1.92,2
2024,A,A,G1,777B0,25649,242,274.1,1,3.07,0
2023,A,A,A1,D5B9E,157930.9329,286,444.8,,,0
2023,A,A,A2,1014E,42658,308,534.9,,,0
2023,A,A,A3,D5BB9,130027.7635,302,517.4,,,0
2023,A,A,A3,D5B73,43044,273,375.2,,,0
2023,A,A,A1,10160,159645.3357,294,492.7,,,0
2023,E,E,E1,D5B7A,75863.25714,300,527.4,,,0
2023,E,E,E2,D5B93,124076,300,453.2,,,0
2023,E,E,E3,D5B8E,102883.1875,294,482.5,,,0
2023,E,E,E3,10176,38357,318,565.9,,,0
2023,E,E,E5,D5B91,112420,290,487.3,,,0
2023,H,H,H1,D5B78,124466.1116,262,348.7,,,0
2023,H,H,H1,D5BAC,104354.2565,283,412.6,,,0
2023,H,H,H5,D5BB8,111933.9226,285,457,,,0
2023,H,H,H5,901F1,69446.65033,278,401.9,,,0
